FoodId,FoodDescription
579,"Crocodile, steak, as purchased, raw"
580,"Crocodile, tail fillet, raw"
581,"Croissant, plain"
582,"Crumpet, from white flour, toasted"
584,"Cucumber, common, peeled, raw"
585,"Cucumber, common, unpeeled, raw"
586,"Cucumber, Lebanese, unpeeled, raw"
587,"Cucumber, telegraph, unpeeled, raw"
588,"Cumin (cummin) seed, dried, ground"
589,"Cumquat (kumquat), raw"
590,"Currant, dried"
591,Curry powder
592,"Custard apple, African pride, peeled, raw"
593,"Custard powder, vanilla, dry mix"
594,"Custard, vanilla, prepared from dry mix"
595,"Custard, vanilla, regular fat"
596,"Dairy blend, butter & edible oil spread (approximately 80% fat), reduced salt (sodium 400 mg/100 g)"
597,"Dairy blend, butter & edible oil spread (approximately 80% fat), sodium 600 mg/100 g"
598,"Dairy or yoghurt dessert, chocolate, regular fat"
599,"Date, dried"
600,"Dill, fresh, raw"
601,"Dip, hummus, commercial"
602,"Doughnut, dusted with cinnamon & sugar"
603,"Doughnut, iced"
604,"Doughnut, jam filled, sugar coated"
605,"Dressing, French or Italian, regular fat, commercial"
606,"Dressing, thousand island, regular fat, commercial"
607,"Dripping, beef"
608,"Duck, breast, lean, fried, no added fat"
609,"Duck, breast, lean, raw"
610,"Duck, lean flesh, baked, no added fat"
611,"Duck, lean flesh, raw"
612,"Duck, lean flesh, skin & fat, baked, no added fat"
613,"Duck, lean flesh, skin & fat, raw"
614,"Duck, skin & fat, baked, no added fat"
615,"Duck, skin & fat, raw"
616,"Egg, chicken, white (albumen), hard-boiled"
617,"Egg, chicken, white (albumen), raw"
619,"Egg, chicken, whole, fried, no fat added"
620,"Egg, chicken, whole, hard-boiled"
621,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled"
622,"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw"
623,"Egg, chicken, whole, poached"
624,"Egg, chicken, whole, raw"
625,"Egg, chicken, whole, scrambled, with regular fat cows milk, no fat added"
626,"Egg, chicken, yolk, hard-boiled"
627,"Egg, chicken, yolk, raw"
628,"Eggplant, unpeeled, fresh, baked, no added fat"
629,"Eggplant, unpeeled, fresh, grilled, no added fat"
630,"Eggplant, unpeeled, fresh, raw"
631,"Emu, fan fillet, raw"
632,"Emu, steak, as purchased, fried, no added fat"
633,"Emu, steak, as purchased, raw"
634,"Endive, fresh, raw"
635,"Extruded snack, cheese flavoured"
636,"Fat, solid, vegetable oil based"
637,"Feijoa, raw"
638,"Fennel, fresh, boiled, drained"
639,"Fennel, fresh, raw"
640,"Fenugreek seed, dried"
641,"Fig, dried"
642,"Fig, fresh, unpeeled, raw"
643,"Fish finger, crumbed, purchased frozen, grilled, no added fat"
644,"Fish finger, crumbed, purchased frozen, raw"
645,"Fish, battered or crumbed, from takeaway outlet, deep fried, blended frying fat, ready to eat"
646,"Fish, eel, raw"
648,"Fish, white flesh, battered, packaged frozen, baked, no added fat"
649,"Fish, white flesh, crumbed, packaged frozen, baked, no added fat"
650,"Flathead, flesh, baked, no added fat"
651,"Flathead, flesh, raw"
652,"Flathead, flesh, steamed, no added fat"
653,"Flour, arrowroot"
654,"Flour, chickpea (besan)"
655,"Flour, cornflour, from maize & wheat starch"
656,"Flour, cornflour, from maize starch"
657,"Flour, gluten free, plain"
658,"Flour, rice"
659,"Flour, rye"
660,"Flour, soya"
661,"Flour, spelt"
662,"Flour, wheat, white, high protein or bread making flour"
663,"Flour, wheat, white, plain"
664,"Flour, wheat, white, plain, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)"
665,"Flour, wheat, white, self-raising"
666,"Flour, wheat, white, self-raising, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)"
667,"Flour, wheat, wholemeal, plain"
668,"Flour, wheat, wholemeal, self-raising"
669,"Frankfurt, cooked"
670,"Fruit drink, apple juice"
671,"Fruit drink, cranberry"
672,"Fruit drink, orange juice"
673,"Fruit salad, canned in fruit juice"
674,"Fruit salad, canned in fruit juice, drained"
675,"Fruit salad, canned in fruit juice, juice only"
676,"Garlic, peeled, fresh, fried, no added fat"
677,"Garlic, peeled, fresh, raw"
678,"Gelatine, all types"
679,"Gemfish, flesh, baked, no added fat"
680,"Gemfish, flesh, raw"
681,"Gemfish, flesh, steamed, no added fat"
682,"Ghee, clarified butter"
683,"Gherkin, pickled, drained, commercial"
684,"Ginger, dried, ground"
685,"Ginger, peeled, fresh, fried, no added fat"
686,"Ginger, peeled, fresh, raw"
687,"Glucose, liquid or syrup"
688,"Gluten, from wheat (vital wheat gluten)"
689,"Goat, all cuts, separable fat, baked, no added fat"
690,"Goat, all cuts, separable fat, raw"
691,"Goat, forequarter, lean, baked, no added fat"
692,"Goat, forequarter, lean, raw"
693,"Goat, leg, lean, baked, no added fat"
694,"Goat, leg, lean, raw"
695,"Goat, loin, lean, baked, no added fat"
696,"Goat, loin, lean, raw"
697,"Goat, meat, all cuts, lean, baked, no added fat"
698,"Goat, meat, all cuts, lean, casseroled, no added fat"
699,"Goat, meat, all cuts, lean, raw"
700,"Goat, meat, all cuts, untrimmed, baked, no added fat"
701,"Goat, meat, all cuts, untrimmed, casseroled, no added fat"
702,"Goat, meat, all cuts, untrimmed, raw"
703,"Goji berry, dried"
704,"Grape, black muscatel/muscat, raw"
705,"Grape, black sultana, raw"
706,"Grape, cornichon, raw"
707,"Grape, green, raw"
708,"Grape, red globe, raw"
709,"Grape, waltham cross, raw"
710,"Grapefruit, peeled, raw"
711,"Gravy powder, dry mix"
712,"Gravy, prepared from dry powder with water"
713,"Guava, Hawaiian, raw"
714,"Ham, leg, lean"
715,"Hamburger, white roll, beef patty, with cheese, onion, pickles & sauce, fast food chain"
716,"Hamburger, white roll, beef patty, with salad, independent takeaway outlet"
717,Honey
719,"Hot dog, bread roll, frankfurt & sauce filling"
720,"Ice confection, stick or tub, fruit juice or fruit flavoured"
721,"Ice confection, stick, milk-based, various flavours"
723,"Ice confection, stick, water-based, various flavours"
724,"Ice cream, vanilla flavour, premium or rich (~15% fat)"
725,"Ice cream, vanilla flavour, regular fat"
726,"Jackfruit, peeled, raw"
727,"Jam, berry"
728,"Jam, plum"
729,"Jam, stone fruit"
730,"Jelly crystals, sugar sweetened, all flavours"
731,"Jelly, sugar sweetened, all flavours, prepared"
732,"Juice, apple & blackcurrant, commercial"
733,"Juice, apple, commercial, added vitamin C"
734,"Juice, lemon"
735,"Juice, lime"
736,"Juice, orange & mango, commercial"
737,"Juice, orange, commercial"
738,"Kale, cooked, no added fat"
739,"Kale, raw"
740,"Kangaroo, loin fillet, grilled, no added fat"
741,"Kangaroo, loin fillet, raw"
742,"Kangaroo, rump, baked, no added fat"
743,"Kangaroo, rump, raw"
744,"Kangaroo, steak, as purchased, fried, no added fat"
745,"Kangaroo, steak, as purchased, raw"
746,"Kangaroo, tail, cooked, no added fat"
747,"Kangaroo, tail, raw"
748,"Kingfish, yellowtail, aquacultured, fillet, with skin, grilled, no added fat"
749,"Kingfish, yellowtail, aquacultured, fillet, with skin, raw"
750,"Kingfish, yellowtail, aquacultured, fillet, with skin, steamed, no added fat"
751,"Kiwifruit, gold, peeled, raw"
752,"Kiwifruit, green (hayward), peeled, raw"
753,"Kohlrabi, peeled, fresh, boiled, drained"
754,"Kohlrabi, peeled, fresh, raw"
755,"Kombucha, flavoured, added juice or intense sweeteners"
756,"Lamb, all cuts, separable fat, cooked"
757,"Lamb, all cuts, separable fat, raw"
758,"Lamb, boneless dice or strips, lean, casseroled, no added fat"
759,"Lamb, boneless dice or strips, lean, raw"
760,"Lamb, boneless dice or strips, lean, stir-fried, no added fat"
761,"Lamb, boneless dice or strips, untrimmed, casseroled, no added fat"
762,"Lamb, boneless dice or strips, untrimmed, raw"
763,"Lamb, boneless dice or strips, untrimmed, stir-fried, no added fat"
764,"Lamb, boneless, fillet or loin, lean, grilled, no added fat"
765,"Lamb, boneless, fillet or loin, lean, raw"
766,"Lamb, boneless, fillet or loin, untrimmed, grilled, no added fat"
767,"Lamb, boneless, fillet or loin, untrimmed, raw"
768,"Lamb, chop, with bone, chump, lean, grilled, no added fat"
769,"Lamb, chop, with bone, chump, lean, raw"
770,"Lamb, chop, with bone, chump, semi-trimmed, grilled, no added fat"
771,"Lamb, chop, with bone, chump, semi-trimmed, raw"
772,"Lamb, chop, with bone, chump, untrimmed, grilled, no added fat"
773,"Lamb, chop, with bone, chump, untrimmed, raw"
774,"Lamb, chop, with bone, forequarter, grilled, no added fat"
775,"Lamb, chop, with bone, forequarter, lean, grilled, no added fat"
776,"Lamb, chop, with bone, forequarter, lean, raw"
777,"Lamb, chop, with bone, forequarter, semi-trimmed, grilled, no added fat"
778,"Lamb, chop, with bone, forequarter, semi-trimmed, raw"
779,"Lamb, chop, with bone, forequarter, untrimmed, raw"
780,"Lamb, chop, with bone, loin or chump, lean, grilled, no added fat"
781,"Lamb, chop, with bone, loin or chump, lean, raw"
782,"Lamb, chop, with bone, loin or chump, semi-trimmed, grilled, no added fat"
783,"Lamb, chop, with bone, loin or chump, semi-trimmed, raw"
784,"Lamb, chop, with bone, loin or chump, untrimmed, grilled, no added fat"
785,"Lamb, chop, with bone, loin or chump, untrimmed, raw"
786,"Lamb, cutlet or frenched cutlet, with bone, lean, grilled, no added fat"
787,"Lamb, cutlet or frenched cutlet, with bone, lean, raw"
788,"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, grilled, no added fat"
789,"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, raw"
790,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, grilled, no added fat"
791,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, raw"
792,"Lamb, diced, lean, casseroled, no added fat"
793,"Lamb, diced, lean, raw"
794,"Lamb, diced, lean, stir-fried, no added fat"
795,"Lamb, diced, untrimmed, casseroled, no added fat"
796,"Lamb, diced, untrimmed, raw"
797,"Lamb, diced, untrimmed, stir-fried, no added fat"
798,"Lamb, eye of loin, lean, microwaved, no added fat"
799,"Lamb, eye of loin, lean, raw"
800,"Lamb, eye of loin, untrimmed, microwaved, no added fat"
801,"Lamb, eye of loin, untrimmed, raw"
802,"Lamb, fillet, lean, grilled, no added fat"
803,"Lamb, fillet, lean, raw"
804,"Lamb, fillet, untrimmed, grilled, no added fat"
805,"Lamb, fillet, untrimmed, raw"
806,"Lamb, leg roast, lean, raw"
807,"Lamb, leg roast, lean, roasted, no added fat"
808,"Lamb, leg roast, semi-trimmed, raw"
809,"Lamb, leg roast, semi-trimmed, roasted, no added fat"
810,"Lamb, leg roast, untrimmed, raw"
811,"Lamb, leg roast, untrimmed, roasted, no added fat"
812,"Lamb, liver, grilled, no added fat"
813,"Lamb, loin chop, lean, grilled, no added fat"
814,"Lamb, loin chop, lean, raw"
815,"Lamb, loin chop, semi-trimmed, grilled, no added fat"
816,"Lamb, loin chop, semi-trimmed, raw"
817,"Lamb, loin chop, untrimmed, grilled, no added fat"
818,"Lamb, loin chop, untrimmed, raw"
819,"Lamb, mince, raw"
820,"Lamb, mince, stir-fried, no added fat"
821,"Lamb, mini roast, lean, roasted, no added fat"
822,"Lamb, mini roast, semi-trimmed, roasted, no added fat"
823,"Lamb, mini roast, untrimmed, roasted, no added fat"
824,"Lamb, roasting piece, leg or mini roast, lean, raw"
825,"Lamb, roasting piece, leg or mini roast, lean, roasted, no added fat"
826,"Lamb, roasting piece, leg or mini roast, semi-trimmed, raw"
827,"Lamb, roasting piece, leg or mini roast, semi-trimmed, roasted, no added fat"
828,"Lamb, roasting piece, leg or mini roast, untrimmed, raw"
829,"Lamb, roasting piece, leg or mini roast, untrimmed, roasted, no added fat"
830,"Lamb, roasting piece, shoulder, lean, raw"
831,"Lamb, roasting piece, shoulder, lean, roasted, no added fat"
832,"Lamb, roasting piece, shoulder, semi-trimmed, raw"
833,"Lamb, roasting piece, shoulder, semi-trimmed, roasted, no added fat"
834,"Lamb, roasting piece, shoulder, untrimmed, raw"
835,"Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat"
836,"Lamb, steak, boneless, lean, grilled, no added fat"
837,"Lamb, steak, boneless, lean, raw"
838,"Lamb, steak, boneless, semi-trimmed, grilled, no added fat"
839,"Lamb, steak, boneless, semi-trimmed, raw"
840,"Lamb, steak, boneless, untrimmed, grilled, no added fat"
841,"Lamb, steak, boneless, untrimmed, raw"
842,"Lamb, stir-fry strips, lean, casseroled, no added fat"
843,"Lamb, stir-fry strips, lean, raw"
844,"Lamb, stir-fry strips, lean, stir-fried, no added fat"
845,"Lamb, stir-fry strips, untrimmed, casseroled, no added fat"
846,"Lamb, stir-fry strips, untrimmed, raw"
847,"Lamb, stir-fry strips, untrimmed, stir-fried, no added fat"
848,"Lamb, with bone, shin, lean, casseroled, no added fat"
849,"Lamb, with bone, shin, lean, raw"
850,"Lamb, with bone, shin, semi-trimmed, casseroled, no added fat"
851,"Lamb, with bone, shin, semi-trimmed, raw"
852,"Lamb, with bone, shin, untrimmed, casseroled, no added fat"
853,"Lamb, with bone, shin, untrimmed, raw"
854,"Lasagne, beef, commercial, purchased frozen, baked"
855,"Lasagne, beef, homemade"
856,"Leek, fresh, boiled, drained"
857,"Leek, fresh, fried, no added fat"
858,"Leek, fresh, raw"
859,"Lemon peel, raw"
860,"Lemon, peeled, raw"
861,"Lemon, preserved"
862,"Lentil, dried, boiled, drained"
863,"Lentil, French, hulled, dry"
864,"Lentil, green, hulled, dry"
865,"Lentil, hulled, dry"
866,"Lentil, red, hulled, dry"
867,"Lettuce, cos, raw"
868,"Lettuce, iceberg, raw"
869,"Lettuce, mignonette, raw"
870,"Lime, native, fruit"
871,"Lime, peeled, raw"
872,"Liquorice, allsorts"
873,"Liquorice, black"
874,"Liquorice, chocolate-coated"
875,"Lobster, southern rock, wild, flesh, purchased steamed or boiled"
876,"Lobster, southern rock, wild, flesh, raw"
877,"Lolly, hard varieties"
878,"Lolly, jelly varieties"
879,"Lolly, mint flavoured, sugar sweetened"
881,"Loquat, peeled, raw"
882,"Lupin, dehulled, flakes, uncooked"
883,"Lupin, dehulled, splits, uncooked"
884,"Lupin, whole, uncooked"
885,"Lychee, peeled, raw"
886,"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce"
887,"Mackerel, grilled, no added fat"
888,"Mackerel, raw"
889,"Mackerel, steamed, no added fat"
890,"Maize, grits, uncooked"
891,"Mandarin, canned in syrup"
892,"Mandarin, canned in syrup, drained"
893,"Mandarin, canned in syrup, syrup only"
894,"Mandarin, peeled, raw"
895,"Mango, peeled, raw"
896,"Mango, pulped, canned"
897,"Margarine spread, monounsaturated (65% fat), rice bran oil, fortified"
898,"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols"
899,"Margarine spread, monounsaturated (greater than 65% fat)"
900,"Margarine spread, monounsaturated (greater than 65% fat), reduced salt (sodium 360 mg/100 g)"
901,"Margarine spread, monounsaturated, olive oil blend (65% fat), reduced salt (sodium 360 mg/100 g)"
902,"Margarine spread, monounsaturated, reduced fat (55% fat) & salt (sodium 380 mg/100 g)"
903,"Margarine spread, monounsaturated, reduced fat (less than 65% fat)"
904,"Margarine spread, polyunsaturated (70% fat)"
905,"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)"
906,"Marmalade, orange"
907,"Mayonnaise, low fat, commercial"
908,"Mayonnaise, traditional (greater than 65% fat), commercial"
909,"Meat alternative, legume and/or vegetable base, as purchased"
910,"Meat alternative, legume and/or vegetable base, cooked"
911,"Meat alternative, mycoprotein/fungus base, commercial, as purchased"
912,"Meat alternative, mycoprotein/fungus base, cooked"
913,"Meat alternative, protein (soy/wheat/pea) base, as purchased"
914,"Meat alternative, protein (soy/wheat/pea) base, cooked"
915,"Melon, bitter, fresh, raw"
916,"Melon, hairy, fresh, raw"
917,"Melon, honey dew, white skin, peeled, raw"
918,"Melon, honey dew, yellow skin, peeled, raw"
919,"Melon, rockmelon, peeled, raw"
920,"Melon, watermelon, peeled, raw"
921,"Meringue, all flavours, commercial"
923,"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)"
924,"Milk, cow, canned, evaporated, regular"
925,"Milk, cow, canned, sweetened, condensed, regular"
926,"Milk, cow, fluid, flavoured, chocolate, reduced fat"
927,"Milk, cow, fluid, lactose free, reduced fat (1% fat)"
928,"Milk, cow, fluid, lactose free, regular fat (3.5% fat)"
929,"Milk, cow, fluid, reduced fat (1% fat)"
930,"Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates"
931,"Milk, cow, fluid, regular fat (3.5% fat)"
932,"Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates"
933,"Milk, cow, fluid, skim (0.15% fat)"
934,"Milk, cow, fluid, skim (0.15% fat), added milk solids"
936,"Milk, cow, powder, regular fat, added vitamins A & D"
937,"Milk, cow, powder, regular fat, unfortified"
938,"Milk, cow, powder, skim"
939,"Milk, human/breast, mature, fluid"
940,"Milkfish, aquacultured, flesh, grilled, no added fat"
941,"Milkfish, aquacultured, flesh, raw"
942,"Milkfish, aquacultured, flesh, steamed, no added fat"
943,"Millet, boiled, no added fat or salt"
944,"Millet, uncooked"
945,"Mineral water, citrus flavoured"
946,"Mineral water, natural, unflavoured"
947,"Mint, fresh, raw"
949,Mixed dried fruit
950,"Mixed leafy greens, commercial, raw"
951,"Mixed vegetables, purchased frozen, carrot, corn & pea/bean, boiled, drained"
952,"Morwong, fillet, grilled, no added fat"
953,"Morwong, fillet, raw"
954,"Morwong, fillet, steamed, no added fat"
955,"Muesli, granola, non-oat based, toasted, added nuts & seeds, unfortified"
956,"Muesli, granola, toasted, added nuts & seeds, unfortified"
958,"Muesli, toasted, added dried fruit & nuts, unfortified"
959,"Muesli, untoasted or natural style, added dried fruit, unfortified"
960,"Muffin, cake-style, berry, commercial"
961,"Muffin, cake-style, chocolate chip, commercial"
962,"Muffin, English style, from white flour"
963,"Muffin, English style, from white flour, added dried fruit, toasted"
964,"Muffin, English style, from white flour, toasted"
965,"Mulberry, raw"
966,"Mullet, yelloweye, fillet, baked, no added fat"
967,"Mullet, yelloweye, fillet, raw"
968,"Mullet, yelloweye, fillet, steamed, no added fat"
969,"Mulloway, flesh, baked, no added fat"
970,"Mulloway, flesh, raw"
971,"Mulloway, flesh, steamed, no added fat"
972,"Mushroom, common, fresh, fried, no added fat"
973,"Mushroom, common, fresh, raw"
974,"Mushroom, common, vitamin D enhanced, fresh, fried, no added fat"
975,"Mushroom, common, vitamin D enhanced, fresh, raw"
976,"Mussel, blue, steamed"
977,Mustard powder
978,"Mustard, cream style"
979,"Mutton, all cuts, separable fat, cooked"
980,"Mutton, all cuts, separable fat, raw"
981,"Mutton, boneless dice or strips, shoulder, lean, casseroled, no added fat"
982,"Mutton, boneless dice or strips, shoulder, lean, raw"
983,"Mutton, boneless dice or strips, shoulder, semi-trimmed, casseroled, no added fat"
984,"Mutton, boneless dice or strips, shoulder, semi-trimmed, raw"
985,"Mutton, boneless dice or strips, shoulder, untrimmed, casseroled, no added fat"
986,"Mutton, boneless dice or strips, shoulder, untrimmed, raw"
987,"Mutton, roasting piece, with bone, leg, lean, raw"
988,"Mutton, roasting piece, with bone, leg, lean, roasted, no added fat"
989,"Mutton, roasting piece, with bone, leg, semi-trimmed, raw"
990,"Mutton, roasting piece, with bone, leg, semi-trimmed, roasted, no added fat"
991,"Mutton, roasting piece, with bone, leg, untrimmed, raw"
992,"Mutton, roasting piece, with bone, leg, untrimmed, roasted, no added fat"
993,"Nectarine, yellow, unpeeled, raw"
994,"Noodle snack, wheat, flavoured, dry"
995,"Noodle, rice stick, boiled, drained"
996,"Noodle, soba, boiled, drained"
997,"Noodle, soba, dry"
998,"Noodle, wheat with egg, plain, boiled, no added fat"
999,"Noodle, wheat, fresh, soaked, drained"
1000,"Noodle, wheat, instant, flavoured, boiled, drained"
1001,"Noodle, wheat, instant, flavoured, boiled, undrained"
1002,"Noodle, wheat, instant, flavoured, dry, uncooked"
1003,"Nut, almond meal"
1004,"Nut, almond, with skin, raw, unsalted"
1005,"Nut, almond, with skin, roasted, unsalted"
1006,"Nut, brazil, raw or blanched, unsalted"
1007,"Nut, cashew, raw, unsalted"
1008,"Nut, cashew, roasted, salted"
1009,"Nut, cashew, roasted, unsalted"
1010,"Nut, chestnut, raw, unsalted"
1011,"Nut, chestnut, roasted, unsalted"
1012,"Nut, hazelnut, raw, unsalted"
1013,"Nut, macadamia, raw, unsalted"
1015,"Nut, peanut, with skin, raw, unsalted"
1016,"Nut, peanut, with skin, roasted, with oil, salted"
1017,"Nut, peanut, without skin, roasted, with oil, salted"
1018,"Nut, peanut, without skin, roasted, with oil, unsalted"
1019,"Nut, pecan, raw, unsalted"
1020,"Nut, pine, raw, unsalted"
1021,"Nut, pistachio, raw, unsalted"
1022,"Nut, walnut, raw, unsalted"
1023,"Nutmeg, dried, ground"
1024,"Oat beverage, fluid, added calcium"
1025,"Oat beverage, fluid, unfortified"
1026,"Oats, hulled, uncooked"
1027,"Oats, rolled, mixed with sugar or honey & other flavours, uncooked"
1028,"Oats, rolled, uncooked"
1029,"Octopus, boiled, no added fat"
1030,"Octopus, raw"
1031,"Oil, almond"
1032,"Oil, blend of monounsaturated vegetable oils"
1033,"Oil, blend of polyunsaturated vegetable oils"
1034,"Oil, canola"
1035,"Oil, copha"
1036,"Oil, cottonseed"
1037,"Oil, grapeseed"
1038,"Oil, linseed or flaxseed"
1039,"Oil, macadamia"
1040,"Oil, mustard seed"
1041,"Oil, olive"
1042,"Oil, palm"
1043,"Oil, peanut"
1044,"Oil, rice bran"
1045,"Oil, soybean"
1046,"Oil, sunflower"
1047,"Oil, vegetable"
1048,"Okra, cooked, no added fat"
1049,"Okra, raw"
1050,"Olive, green or black, drained"
1052,"Onion, mature, brown skinned, peeled, fresh, fried, no added fat"
1053,"Onion, mature, brown skinned, peeled, raw"
1054,"Onion, mature, red skinned, fried, no added fat"
1055,"Onion, mature, red skinned, raw"
1056,"Onion, mature, white skinned, peeled, fresh, fried, no added fat"
1057,"Onion, mature, white skinned, peeled, fresh, raw"
1058,"Onion, spring, fresh, fried, no added fat"
1059,"Onion, spring, fresh, raw"
1060,"Orange, navel, peeled, raw"
1061,"Orange, peeled, raw"
1062,"Orange, valencia, peeled, raw"
1063,"Oregano, dried"
1064,"Ostrich, fan fillet, raw"
1065,"Ostrich, moon steak, raw"
1066,"Oyster, aquacultured, raw"
1067,"Oyster, native, aquacultured, raw"
1068,"Oyster, Pacific, aquacultured, raw"
1069,"Oyster, Sydney rock, aquacultured, raw"
1070,"Pancake, plain, homemade"
1071,"Paprika, dry powder"
1072,"Parsley, continental, fresh, raw"
1073,"Parsley, curly, fresh, raw"
1074,"Parsnip, peeled, fresh, baked, no added fat"
1075,"Parsnip, peeled, fresh, boiled, drained"
1076,"Parsnip, peeled, fresh, raw"
1077,"Passionfruit, pulp, canned"
1078,"Passionfruit, raw"
1079,"Pasta in cream based sauce, dry mix"
1080,"Pasta in cream based sauce, prepared from dry mix"
1081,"Pasta, gluten free, boiled from dry, no added salt"
1082,"Pasta, legume based, boiled, no added salt"
1083,"Pasta, maize flour (corn) based, boiled from dry, no added salt"
1084,"Pasta, maize flour (corn) based, dry"
1085,"Pasta, white wheat flour & egg, boiled from dry, no added salt"
1086,"Pasta, white wheat flour & egg, dry"
1087,"Pasta, white wheat flour & spinach, boiled from dry, no added salt"
1088,"Pasta, white wheat flour & spinach, dry"
1089,"Pasta, white wheat flour, boiled from dry, no added salt"
1090,"Pasta, white wheat flour, dry"
1091,"Pasta, white wheat flour, fresh, boiled, no added salt"
1092,"Pasta, white wheat flour, fresh, uncooked"
1093,"Pasta, wholemeal wheat flour, boiled from dry, no added salt"
1094,"Pasta, wholemeal wheat flour, dry"
1095,"Paste, green curry, commercial"
1096,"Paste, Indian style curry, commercial"
1097,"Paste, shrimp"
1098,"Paste, soybean"
1099,"Pastry, filled with spinach & cheese, purchased frozen, baked"
1100,"Pastry, filo, commercial, baked"
1101,"Pastry, filo, commercial, raw"
1102,"Pastry, puff, vegetable oil, commercial, baked"
1103,"Pastry, puff, vegetable oil, commercial, raw"
1104,"Pastry, puff, with butter, commercial, baked"
1105,"Pastry, puff, with butter, commercial, raw"
1106,"Pastry, shortcrust style, commercial, baked"
1107,"Pastry, shortcrust style, commercial, raw"
1108,"Pawpaw (papaya), peeled, raw"
1109,"Pea, green, fresh, boiled, drained"
1110,"Pea, green, fresh, raw"
1111,"Pea, green, frozen, boiled, drained"
1112,"Pea, green, whole, dried"
1113,"Pea, split, dried"
1114,"Pea, split, dried, boiled, drained"
1115,"Pea, yellow, whole, dried"
1116,"Peach, canned in pear juice"
1117,"Peach, canned in pear juice, drained"
1118,"Peach, canned in pear juice, juice only"
1119,"Peach, yellow, unpeeled, raw"
1121,"Peanut butter, smooth & crunchy, added sugar & salt"
1122,"Peanut butter, smooth & crunchy, no added sugar or salt"
1123,"Pear, brown skin, unpeeled, raw"
1124,"Pear, canned in pear juice"
1125,"Pear, canned in pear juice, drained"
1126,"Pear, canned in pear juice, juice only"
1127,"Pear, green skin, unpeeled, raw"
1128,"Pear, nashi, unpeeled, raw"
1129,"Pear, Packham's triumph, unpeeled, raw"
1130,"Pear, William Bartlett, unpeeled, raw"
1131,"Pepper, black, ground"
1132,"Persimmon, peeled, raw"
1133,"Pie, savoury, meat, commercial, ready to eat"
1134,"Pie, savoury, meat, purchased frozen, baked"
1135,"Pie, steak & kidney, canned"
1136,"Pie, sweet, apple, commercial"
1137,"Pigeon (squab), whole, raw"
1138,"Pikelet or pancake, sweet, commercial"
1139,"Pikelet, plain, homemade"
1140,"Pineapple, canned in juice, drained"
1141,"Pineapple, canned in pineapple juice"
1142,"Pineapple, canned in pineapple juice, juice only"
1143,"Pineapple, canned in syrup"
1144,"Pineapple, canned in syrup, drained"
1145,"Pineapple, canned in syrup, syrup only"
1146,"Pineapple, peeled, raw"
1147,"Pizza, cheese & tomato, commercial"
1148,"Pizza, ham & pineapple, purchased frozen, baked"
1149,"Pizza, ham & pineapple, takeaway style"
1150,"Pizza, supreme, fast food chain"
1151,"Pizza, supreme, purchased frozen, baked"
1152,"Pizza, supreme, takeaway style"
1153,"Pizza, vegetable, fast food chain"
1154,"Plum, dark, canned in syrup"
1155,"Plum, dark, canned in syrup, drained"
1156,"Plum, dark, canned in syrup, syrup only"
1157,"Plum, davidson (native), flesh"
1158,"Plum, salted"
1159,"Plum, unpeeled, raw"
1160,"Pomegranate, peeled, raw"
1161,"Popcorn, commercial, butter flavoured, salted"
1162,"Pork, belly, rind removed, baked, no added fat"
1163,"Pork, belly, rind removed, raw"
1164,"Pork, butterfly steak, lean, grilled, no added fat"
1165,"Pork, butterfly steak, lean, raw"
1166,"Pork, butterfly steak, untrimmed, grilled, no added fat"
1167,"Pork, butterfly steak, untrimmed, raw"
1168,"Pork, diced, untrimmed, fried, no added fat"
1169,"Pork, diced, untrimmed, raw"
1170,"Pork, fillet, fully-trimmed, baked, no added fat"
1171,"Pork, fillet, lean, raw"
1172,"Pork, forequarter (chop, roast, neck), separable fat, raw"
1173,"Pork, forequarter chop, lean, BBQ'd, no added fat"
1174,"Pork, forequarter chop, lean, raw"
1175,"Pork, forequarter chop, semi-trimmed, BBQ'd, no added fat"
1176,"Pork, forequarter chop, untrimmed, BBQ'd, no added fat"
1177,"Pork, forequarter chop, untrimmed, raw"
1178,"Pork, forequarter shoulder roast, lean, BBQ'd, no added fat"
1179,"Pork, forequarter shoulder roast, lean, raw"
1180,"Pork, forequarter shoulder roast, semi-trimmed, BBQ'd, no added fat"
1181,"Pork, forequarter shoulder roast, untrimmed, BBQ'd, no added fat"
1182,"Pork, forequarter shoulder roast, untrimmed, raw"
